"date","baseline_cost","optimized_simulated_cost","estimated_savings","savings_percentage","energy_shifted"
2010-07-06,125.158114731312,125.158114731312,0,0,0
2010-07-07,108.152999013662,108.152999013662,0,0,0
2010-07-08,124.569560647011,124.569560647011,0,0,0
2010-07-09,116.929195761681,116.929195761681,0,0,0
2010-07-10,122.83617836237,122.83617836237,0,0,0
2010-07-11,126.756623983383,126.756623983383,0,0,0
2010-07-12,122.423048555851,122.423048555851,0,0,0
2010-07-13,130.331270247698,130.331270247698,0,0,0
2010-07-14,127.596546947956,127.596546947956,0,0,0
2010-07-15,127.852261722088,127.852261722088,0,0,0
2010-07-16,101.140359848738,101.140359848738,0,0,0
2010-07-17,91.2514035999775,91.2514035999775,0,0,0
2010-07-18,83.2708775401115,83.2708775401115,0,0,0
2010-07-19,97.5728394985199,97.5728394985199,0,0,0
2010-07-20,104.346438765526,104.346438765526,0,0,0
2010-07-21,105.077640354633,105.077640354633,0,0,0
2010-07-22,106.59584325552,106.59584325552,0,0,0
2010-07-23,111.631570458412,111.631570458412,0,0,0
2010-07-24,101.604673355818,101.604673355818,0,0,0
2010-07-25,109.603096932173,109.603096932173,0,0,0
2010-07-26,89.7085874080658,89.7085874080658,0,0,0
2010-07-27,86.1620129942894,86.1620129942894,0,0,0
2010-07-28,93.7500787377357,93.7500787377357,0,0,0
2010-07-29,64.88457685709,64.88457685709,0,0,0
2010-07-30,61.1870842278004,61.1870842278004,0,0,0
2010-07-31,65.5714210271835,65.5714210271835,0,0,0
2010-08-01,58.5376313328743,58.5376313328743,0,0,0
2010-08-02,57.3505270779133,57.3505270779133,0,0,0
2010-08-03,76.4289786219597,76.4289786219597,0,0,0
2010-08-04,56.8152724206448,56.8152724206448,0,0,0
2010-08-05,53.8073325455189,53.8073325455189,0,0,0
2010-08-06,51.7648112177849,51.7648112177849,0,0,0
2010-08-07,53.8868335187435,53.8868335187435,0,0,0
2010-08-08,52.6291399747133,52.6291399747133,0,0,0
2010-08-09,52.6335653662682,52.6335653662682,0,0,0
2010-08-10,55.574184179306,55.574184179306,0,0,0
2010-08-11,58.3162862360477,58.3162862360477,0,0,0
2010-08-12,54.225003823638,54.225003823638,0,0,0
2010-08-13,52.30699172616,52.30699172616,0,0,0
2010-08-14,53.6796592473984,53.6796592473984,0,0,0
2010-08-15,122.390641897917,122.390641897917,0,0,0
2010-08-16,113.139092445374,113.139092445374,0,0,0
2010-08-17,98.4477854073048,98.4477854073048,0,0,0
2010-08-29,27.4615131616592,27.4615131616592,0,0,0
2010-08-30,149.571272701025,149.571272701025,0,0,0
2010-08-31,149.323327630758,149.323327630758,0,0,0
2010-09-01,163.236016631126,163.236016631126,0,0,0
2010-09-02,151.630537569523,151.630537569523,0,0,0
2010-09-03,150.762839317322,150.762839317322,0,0,0
2010-09-04,182.528016239405,182.528016239405,0,0,0
2010-09-05,165.797394126654,165.797394126654,0,0,0
2010-09-06,162.100192993879,162.100192993879,0,0,0
2010-09-07,158.646211653948,158.240437433748,0.405774220199585,0.255773028532628,0.0579677457427978
2010-09-08,159.45742470026,159.45742470026,0,0,0
2010-09-09,147.494731992483,147.474198565512,0.0205334269714355,0.01392146464762,0.00293334671020506
2010-09-10,155.685705274343,155.685705274343,0,0,0
2010-09-11,159.26023375988,159.26023375988,0,0,0
2010-09-12,152.660270750523,152.660270750523,0,0,0
2010-09-13,132.316439151764,132.316439151764,0,0,0
2010-09-14,157.153401106596,157.153401106596,0,0,0
2010-09-15,124.090515673161,124.090515673161,0,0,0
2010-09-16,142.677800536156,142.677800536156,0,0,0
2010-09-17,173.783920228481,173.783920228481,0,0,0
2010-09-18,150.291099369526,150.291099369526,0,0,0
2010-09-19,129.314693182707,129.314693182707,0,0,0
2010-09-20,160.401953279972,160.401953279972,0,0,0
2010-09-21,138.08137524128,138.08137524128,0,0,0
2010-09-22,163.558969378471,163.558969378471,0,0,0
2010-09-23,160.725814700127,160.725814700127,0,0,0
2010-09-24,156.753329575062,156.753329575062,0,0,0
2010-09-25,4.21789571642876,4.21789571642876,0,0,0
2010-10-01,50.0228902697563,50.0228902697563,0,0,0
2010-10-02,5.7664960026741,5.7664960026741,0,0,0
2010-10-05,68.6066000461578,68.6066000461578,0,0,0
2010-10-06,158.527716964483,158.527716964483,0,0,0
2010-10-07,180.351335018873,180.351335018873,0,0,0
2010-10-08,172.984148025513,172.804222334976,0.179925690536499,0.104012820012827,0.059975230178833
2010-10-09,200.956840068102,200.917292521029,0.0395475470733642,0.0196796222810639,0.00564964958190917
2010-10-10,211.881624311209,210.654470098019,1.22715421319008,0.579169721385396,0.17530774474144
2010-10-11,179.732140362263,179.358842933178,0.373297429084778,0.207696535707176,0.0533282041549683
2010-10-12,188.791820943356,187.95688611269,0.834934830665588,0.442251590399194,0.119276404380798
2010-10-13,207.96707585454,207.96707585454,0,0,0
2010-10-14,212.540328472853,211.627040493488,0.913287979364395,0.429701029412424,0.163900178670883
2010-10-15,196.291818648577,196.123946392536,0.167872256040573,0.0855217793570483,0.055957418680191
2010-10-16,145.572032064199,145.572032064199,0,0,0
2010-10-17,145.305625528097,144.49577922225,0.809846305847168,0.557339953566059,0.115692329406738
2010-10-18,229.919935613871,228.878502455463,1.04143315840721,0.452954701655885,0.200953726930618
2010-10-19,192.82399597764,192.053344285488,0.770651692152023,0.399665865363244,0.11009309887886
2010-10-20,190.235314100981,189.832347685099,0.402966415882111,0.211825242745523,0.0575666308403015
2010-10-21,168.923299700022,168.557989010839,0.365310689182281,0.216258319504183,0.0840914005851746
2010-10-22,185.047051697969,184.878929138184,0.168122559785843,0.0908539521398318,0.0560408532619476
2010-10-23,246.84092861414,246.153322026134,0.68760658800602,0.278562632164167,0.0982295125722885
2010-10-24,230.959959059954,229.752820450068,1.20713860988617,0.522661423564253,0.172448372840881
2010-10-25,149.27392911911,149.27392911911,0,0,0
2010-10-26,135.280683249235,135.236001689787,0.0446815594482421,0.0330287801444075,0.014893853149414
2010-10-27,152.120488256216,152.120488256216,0,0,0
2010-10-28,165.582638353109,165.582638353109,0,0,0
2010-10-29,140.68428632617,140.68428632617,0,0,0
2010-10-30,213.750233590603,212.880082481289,0.870151109313965,0.407087793401232,0.154053949279785
2010-10-31,156.733752131462,156.733752131462,0,0,0
2010-11-01,137.804634958506,137.804634958506,0,0,0
2010-11-02,127.40391689539,127.40391689539,0,0,0
2010-11-03,135.511728972197,135.511728972197,0,0,0
2010-11-04,230.909789979458,229.662084257603,1.24770572185516,0.540343361780443,0.275737452507019
2010-11-05,188.011055886745,188.011055886745,0,0,0
2010-11-06,212.558114379644,212.162961435318,0.395152944326401,0.185903485961787,0.0564504206180573
2010-11-07,202.243698984385,202.243698984385,0,0,0
2010-11-08,186.807632535696,186.807632535696,0,0,0
2010-11-09,203.720454066992,202.857761849518,0.862692217473984,0.423468630788686,0.13131355591774
2010-11-10,205.281464517117,205.073771633263,0.207692883853912,0.10117468926991,0.0692309612846374
2010-11-11,233.146059691906,232.796900585918,0.349159105987549,0.149759814276488,0.0498798722839355
2010-11-12,212.198879241943,211.564272434769,0.634606807174682,0.29906228036724,0.0906581153106689
2010-11-13,248.384524941444,247.428135273485,0.956389667959213,0.385043982987538,0.136627095422745
2010-11-14,249.637414693832,248.010233837366,1.62718085646629,0.651817700668767,0.261509400606155
2010-11-15,200.103480607271,199.501340723038,0.602139884233475,0.300914248171051,0.118673676252365
2010-11-16,192.395217835903,191.933478138475,0.46173969742775,0.239995412890966,0.09958611079216
2010-11-17,196.436545670033,196.436545670033,0,0,0
2010-11-18,195.865457326174,195.043133056164,0.822324270009995,0.419841395841729,0.117474895715714
2010-11-19,195.414624899626,195.233010345697,0.181614553928375,0.0929380562082603,0.0605381846427918
2010-11-20,254.036324501038,253.096106956658,0.940217544379234,0.370111457968049,0.134316792054176
2010-11-21,134.834491431713,134.834491431713,0,0,0
2010-11-22,208.06073269248,206.98278176343,1.07795092905045,0.518094363650871,0.207154654941559
2010-11-23,200.187615931034,200.004470676184,0.183145254850388,0.0914868055142244,0.0610484182834625
2010-11-24,206.707882344723,206.636543919201,0.0713384255218505,0.0345117102998911,0.0237794751739502
2010-11-25,187.745900809765,186.604489616184,1.14141119358063,0.607955320812662,0.197968852005005
2010-11-26,188.405238091946,188.22513923645,0.180098855495453,0.095591214617696,0.0600329518318176
